Places_name	Places_type	Places_city	Places_reference	Budget	timing
Royal Mark Hotel	Hotel	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Royal+Mark+Hotel%2C+Aziz+Bhatti+Shaheed+Road%2C+Model+Town+A%2C+Bahawalpur%2C+Pakistan	Moderate	All-day
Hotel Executive Lodge	Hotel	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Hotel+Executive+Lodge%2C+Near+Baghdad+Railway+Station%2C+University+Rd%2C+Bahawalpur%2C+Pakistan	Moderate	All-day
Hotel State Residency	Hotel	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Hotel+State+Residency%2C+5%2FC-3+College+Road%2C+Bahawalpur%2C+Pakistan	Low	All-day
Star View Guest House	Hotel	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Star+View+Guest+House%2C+Peepal+Wala+Chowk+Model+Town+C%2C+Bahawalpur%2C+Pakistan	Low	All-day
Galaxy Heights Inn	Hotel	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Galaxy+Heights+Inn%2C+Bahawalpur%2C+Pakistan	Low	All-day
La-Taska Motel	Hotel	Bhawalpur	https://www.google.com/maps/search/?api=1&query=La-Taska+Motel%2C+DCO+Chowk%2C+Bahawalpur%2C+Pakistan	Moderate	All-day
New Premier Hotel	Hotel	Bhawalpur	https://www.google.com/maps/search/?api=1&query=New+Premier+Hotel%2C+Bahawalpur%2C+Pakistan	Moderate	All-day
The Grand Regency Bahawalpur	Hotel	Bhawalpur	https://www.google.com/maps/search/?api=1&query=The+Grand+Regency+Bahawalpur%2C+Sadiq+Colony+Ahmadpur+Road%2C+Bahawalpur%2C+Pakistan	Low	All-day
Regal Hotel Bahawalpur	Hotel	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Regal+Hotel+Bahawalpur%2C+Gulbraga+Road+Cheema+Town+Chowk%2C+Bahawalpur%2C+Pakistan	Low	All-day
Bahawalpur Lodges	Hotel	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Bahawalpur+Lodges%2C+29+Sarwar+Shaheed+Road%2C+Bahawalpur%2C+Pakistan	Moderate	All-day
Arabian Lodges	Hotel	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Arabian+Lodges%2C+DHA+Canal+Road%2C+Bahawalpur%2C+Pakistan	Moderate	All-day
Hotel Paradise	Hotel	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Hotel+Paradise%2C+Bahawalpurwala%2C+Bahawalpur%2C+Pakistan	Low	All-day
Afghani Shinwari Chay Dulari Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Afghani+Shinwari+Chay+Dulari+Restaurant+Road%2C+Garden+Town+Bahawalpur+Pakistan	Low	MainMeals
Ajwa Garden Hotel & Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Ajwa+Garden+Hotel+%26+Restaurant+Ahmedpur+Road+near+Dubai+chowk+Sadiq+Colony+Bahawalpur+Pakistan	Moderate	FullDay
Al Farooq Food Cafe	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Al+Farooq+Food+Cafe+Arif+town+5%2F4+center+Jail+Road+Bahawalpur+Pakistan	Low	MainMeals
Al Farooq Tikka Shop Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Al+Farooq+Tikka+Shop+Restaurant+Welcome+Chowk+Welcome+Colony+Bahawalpur+Pakistan	Low	Dinner
Ali Kabab House Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Ali+Kabab+House+Restaurant+Giri+Ganj+Bazaar+Mohallah+Islampura+Old+City+Bahawalpur+Pakistan	Low	FullDay
Almaida Fried Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Almaida+Fried+Restaurant+Fawara+Chowk+Bahawalpur+Circular+Road+Trust+Colony+Bahawalpur+Pakistan	Low	Brunch
Bell n Tell Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Bell+n+Tell+Restaurant+Muhammad+Bin+Qasim+Road+Model+Town+Bahawalpur+Pakistan	Moderate	MainMeals
ChachaChah Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=ChachaChah+Restaurant+Civil+Hospital+Road+Bahawalpur+Pakistan	Low	Brunch
Dar ul Kabab Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Dar+ul+Kabab+Restaurant+Old+City+Bahawalpur+Pakistan	Low	MainMeals
Four Seasons Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Four+Seasons+Restaurant+Muhammad+Bin+Qasim+Road+Model+Town+Bahawalpur+Pakistan	Moderate	FullDay
Kebabish Continental	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Kebabish+Continental+Railway+Road+Welcome+Colony+Bahawalpur+Pakistan	Moderate	MainMeals
Kebabish Grill Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Kebabish+Grill+Restaurant+Faiz+Colony+Model+Town+Bahawalpur+Pakistan	Moderate	MainMeals
Kebapci Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Kebapci+Restaurant+Gulburg+Road+Chowk+Cheema+Town+Bahawalpur+Pakistan	Moderate	MainMeals
La Serre Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=La+Serre+Restaurant+Ahmedpur+Road+Model+Town+Bahawalpur+Pakistan	High	Meals
Larri Adda Hotel	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Larri+Adda+Hotel+NH+5+Bahawalpur+Pakistan	Low	FullDay
Tandoori Restaurant Desert Grill	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Tandoori+Restaurant+Desert+Grill+Circular+Rd+Derawari+Gate+Bahawalpur+Pakistan	Moderate	MainMeals
Shaigan Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Shaigan+Restaurant+Ahmedpur+Rd+opposite+burq+poli+clinic+Bahawalpur+Pakistan	Moderate	MainMeals
Shaigan Grill	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Shaigan+Grill+Chowk+Commercial+Area+Satellite+Town+Bahawalpur+Pakistan	Moderate	Dinner
Panda A Family Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Panda+A+Family+Restaurant+Railway+Rd+Model+Town+Bahawalpur+Pakistan	Moderate	FullDay
Do Piazza	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Do+Piazza+Ghaznavi+Road+Model+Town+Bahawalpur+Pakistan	Low	MainMeals
Shahi Cup	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Shahi+Cup+Noor+Mahal+Bahawalpur+Cantt+Pakistan	Low	Brunch
Chicken Cottage	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Chicken+Cottage+Welcome+Chowk+Railway+Rd+Welcome+Colony+Bahawalpur+Pakistan	Moderate	MainMeals
BBQ Tonight	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=BBQ+Tonight+Near+Sutlej+River+Toll+Plaza+Bahawalpur+Pakistan	High	Main Meals
Zarqoon	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Zarqoon+Ahmad+pur+Rd+Sadiq+Colony+Bahawalpur+Pakistan	Moderate	Main Meals
City CafÃƒÂ© and Grill	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=City+Caf%C3%A9+and+Grill+Commercial+area+satellite+town+Bahawalpur+Pakistan	Moderate	Main Meals
SaltÃ¢â‚¬â„¢n Pepper	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Salt%E2%80%99n+Pepper+DC+office+Chowk+Haqqi+Centre+Bahawalpur+Pakistan	High	Main Meals
Libra Valley Restaurant	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Libra+Valley+Restaurant+Chamb+Mor+Libra+Trail+Gharibabad+Bahawalpur+Pakistan	Moderate	Main Meals
Muff Inns Cafe	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Muff+Inns+Cafe+Satellite+Town+Bahawalpur+Pakistan	Moderate	Full Day
Victoria Lounge	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Victoria+Lounge+opposite+QAMC+Old+City+Bahawalpur+Pakistan	High	Main Meals
Asia Services and Cafe	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Asia+Services+and+Cafe+Nabbu+Wala+Bahawalpur+Pakistan	Low	Full Day
The Roosters | Costa Corner	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=The+Roosters+%7C+Costa+Corner+Ahmedpur+Rd+near+Dubai+chowk+Sadiq+Colony+Bahawalpur+Pakistan	Moderate	Full Day
Charsi Chae	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Charsi+Chae+Bahawalpur+Pakistan	Low	Meals
Heritage Cafe	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Heritage+Cafe+Muhammad+Bin+Qasim+Rd+Model+Town+Bahawalpur+Pakistan	Moderate	Full Day
Th Street Cafe	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Th+Street+Cafe+10th+street+Model+Town+Bahawalpur+Pakistan	Moderate	Full Day
Coffee Planet	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Coffee+Planet+City+Center+Mall+DC+Office+Chock+Bahawalpur+Pakistan	Moderate	Full Day
Chaaye Khana	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Chaaye+Khana+Rashid+Minhas+Road+Model+Town+A+Bahawalpur+Pakistan	Moderate	Full Day
Janancafe	Restaurant	Bhawalpur	https://www.google.com/maps/search/?api=1&query=Janancafe+Opposite+circuit+house+Ahmedpur+road+Bahawalpur+Pakistan	Low	Meals
Ayub Chowk Clock Tower	Landmark / Clock Tower	Jhang	https://maps.app.goo.gl/uvJpnBhaQYx4SF9M8	Low	All-day
Forest Complex Jhang	Government / Forest Complex	Jhang	https://maps.app.goo.gl/DosnD8LsEVrBsD9o7	Low	All-day
Jamil Shaheed Park	Recreational / Park	Jhang	https://maps.app.goo.gl/MZVGyMU3F6C2nucJ7	Low	All-day
Chenab River Bank	Natural / River Bank	Jhang	https://maps.app.goo.gl/g6yCaY1BJhjxnjS78	Low	All-day
Ihrar Park	Recreational / Park	Jhang	https://maps.app.goo.gl/2pqM9cxXo3p74Uza7	Low	All-day
Bab E Umar	Monument / Gateway	Jhang	https://maps.app.goo.gl/TVSyDTKvAW3heykw7	Low	All-day
Wildlife Park Jhang	Wildlife / Park	Jhang	https://maps.app.goo.gl/34CHxs2DEJKVfPW66	Low	Afternoon
Main Park & Jogging Track Paradise City	Recreational / Park	Jhang	https://maps.app.goo.gl/42s7MwiNVfmqBsyR8	Low	All-day
Summer Set Ground	Recreational / Ground	Jhang	https://maps.app.goo.gl/zWMViiE9DRZjP1vh7	Low	Afternoon
Woman and children Park	Recreational / Park	Jhang	https://maps.app.goo.gl/KHtaVVGRYTX3u6XNA	Low	Afternoon
Nawaz Sharif Park,Jhang	Recreational / Park	Jhang	https://maps.app.goo.gl/4WWKTeLvLVcf8xzM9	Low	Afternoon
Botanical Garden	Botanical / Garden	Jhang	https://maps.app.goo.gl/36jLd3M36V25WUY3A	Low	Afternoon
Forest Park	Recreational / Park	Jhang	https://maps.app.goo.gl/bVG158MpFjPw2vi89	Low	Afternoon
Deer Land Hiran Minar	Historical / Wildlife Park	Sheikhpura	https://maps.app.goo.gl/ZNUu7E7UgPXHJy1M7	Low	Evening
Sheikhupura Fort	Historical Fort	Sheikhpura	https://maps.app.goo.gl/yAeBb7XhNK5kvtR57	Low	Morning
Saray-e-Ali Farm House	Farmhouse / Recreational	Sheikhpura	https://maps.app.goo.gl/fy5x7o5nAUZEQThY9	Moderate	All-day
Company Bagh	Recreational Park	Sheikhpura	https://maps.app.goo.gl/cdHPApdvFa64PoYNA	Low	All-day
Sahib Lakho	Cultural / Religious Site	Gujrat	https://maps.app.goo.gl/9R5wdtG3n3zY33qr9	Low	All-day
Jump Dump Liberty Gujrat	Amusement / Entertainment Center	Gujrat	https://maps.app.goo.gl/FokydejFuicas4wk9	Moderate	Evening
DERA SHAHMEER WARRAICH	Cultural / Heritage Site	Gujrat	https://maps.app.goo.gl/6nvDyy155M4q7Dfo8	Low	Afternoon
Green Valley	Natural / Scenic Area	Gujrat	https://maps.app.goo.gl/ct1p64cSn8PAVfyb7	Low	Evening
Nawaz sharif park	Recreational Park	Gujrat	https://maps.app.goo.gl/cDmiaWnTSzaKx9PQA	Low	Afternoon
Jinnah Azadi Park	Recreational Park	Gujrat	https://maps.app.goo.gl/61mBj2VJmbYkxgY99	Low	Afternoon
Northwest Corner of the Akbari Fort	Historical Fort Section	Gujrat	https://maps.app.goo.gl/i72BpnKieYrUrsns8	Low	All-day
Wall of Gujrat	Historical Wall / Landmark	Gujrat	https://maps.app.goo.gl/RwXq5MQqe1cUF5yc7	Low	All-day
Ajwa Globals Sahiwal	Amusement / Entertainment Center	Sahiwal	https://maps.app.goo.gl/AeVr76fXdnsDSnTH9	Moderate	All-day
Canan Park Sahiwal	Recreational Park	Sahiwal	https://maps.app.goo.gl/HBfn5QgBNvhXZ3318	Low	Evening
Maskan-e-Tayyab Hotel	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Maskan-e-Tayyab+Hotel+Jhang+Pakistan	Low	All-day
Zahra Green Palace Guest House	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Zahra+Green+Palace+Guest+House+Jhang+Pakistan	Low	All-day
Alfatah Guest House	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Alfatah+Guest+House+Jhang+Pakistan	Low	All-day
Al-Farooq Hotel	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Al-Farooq+Hotel+Jhang+Pakistan	Low	All-day
Hotel Grand	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Hotel+Grand+Jhang+Pakistan	Low	All-day
Town Guest House	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Town+Guest+House+Jhang+Pakistan	Low	All-day
Shaheen Guest House	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Shaheen+Guest+House+Jhang+Pakistan	Low	All-day
Hamza Hotel	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Hamza+Hotel+Jhang+Pakistan	Low	All-day
Hamala Inn	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Hamala+Inn+Jhang+Pakistan	Low	All-day
MC Lodges	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=MC+Lodges+Jhang+Pakistan	Low	All-day
Hotel Comfort Inn	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Hotel+Comfort+Inn+Jhang+Pakistan	Moderate	All-day
Vicky Hotel Jhang	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Vicky+Hotel+Jhang+Pakistan	Low	All-day
Vicky Hotel Jhang Sadar (Branch)	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Vicky+Hotel+Jhang+Sadar+Pakistan	Low	All-day
Royal Inn Hotel	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Royal+Inn+Hotel+Jhang+Pakistan	Moderate	All-day
Hotel One Jhang	Hotel	Jhang	https://www.google.com/maps/search/?api=1&query=Hotel+One+Jhang+Pakistan	High	All-day
Best Holidays Inn Hotel	Hotel	Sheikhupura	https://maps.app.goo.gl/Rfp4vR7AsfGijvbGA	Low	All-day
Sultan Grand Hotel & Restaurant	Hotel	Sheikhupura	https://maps.app.goo.gl/taA4ZDHULhqcZip97	Moderate	All-day
Shahnawaz Hotel	Hotel	Sheikhupura	https://maps.app.goo.gl/VAxK7G1Qf293Y8mV8	Low	All-day
Akbars Kinara	Hotel	Gujrat	https://maps.app.goo.gl/wFuTuDf86h2WUkpJ7	High	All-day
Gujrat Guest House	Hotel	Gujrat	https://maps.app.goo.gl/4Mp7dzw7jbZwaMHY8	Low	All-day
Euro Heights Hotel	Hotel	Gujrat	https://maps.app.goo.gl/qktBjEbKHEwu7ChX6	Moderate	All-day
Hotel Holiday Inn Gujrat	Hotel	Gujrat	https://maps.app.goo.gl/oGRcfAraKodhb2u86	Moderate	All-day
Kinara Hotel	Hotel	Gujrat	https://maps.app.goo.gl/q6XDmBVPvN8xuUd3A	Moderate	All-day
Hotel	Hotel	Gujrat	https://maps.app.goo.gl/v2yk5iCTaBL6ZrCA9	High	All-day
Hotel premier inn	Hotel	Gujrat	https://maps.app.goo.gl/79FcfrmGGaCLLDM5A	Low	All-day
Iris Hotel	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Iris+Hotel+Sahiwal+Punjab+Pakistan	Moderate	All-day
Starlite Hotel Sahiwal	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Starlite+Hotel+Sahiwal+Punjab+Pakistan	Moderate	All-day
Dreamland Guest House	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Dreamland+Guest+House+Sahiwal+Punjab+Pakistan	Low	All-day
Greenview Hotel	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Greenview+Hotel+Sahiwal+Punjab+Pakistan	Low	All-day
Royal City Hotel Sahiwal	Hotel	Sahiwal	https://maps.app.goo.gl/1BqPDRKzM7DB1jxp8	Low	All-day
Hotel One Sahiwal	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Hotel+One+Sahiwal+Punjab+Pakistan	High	All-day
Galaxy Guest House	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Galaxy+Guest+House+Sahiwal+Punjab+Pakistan	Low	All-day
Saphire Hotel	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Saphire+Hotel+Sahiwal+Punjab+Pakistan	Moderate	All-day
Indus Hotel	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Indus+Hotel+Sahiwal+Punjab+Pakistan	Low	All-day
Star Lite Hotel	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Star+Lite+Hotel+Sahiwal+Punjab+Pakistan	Moderate	All-day
Iris Eco Resort Sahiwal	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Iris+Eco+Resort+Sahiwal+Punjab+Pakistan	High	All-day
Comfort Inn Hotel	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Comfort+Inn+Hotel+Sahiwal+Punjab+Pakistan	Moderate	All-day
Seraaye Hotel	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Seraaye+Hotel+Sahiwal+Punjab+Pakistan	Low	All-day
Hotel Red Roof Sahiwal	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Hotel+Red+Roof+Sahiwal+Punjab+Pakistan	High	All-day
Hotel International	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Hotel+International+Sahiwal+Punjab+Pakistan	Low	All-day
Swarg Hotel	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Swarg+Hotel+Sahiwal+Punjab+Pakistan	High	All-day
Al Sadiq Hotel	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Al+Sadiq+Hotel+Sahiwal+Punjab+Pakistan	Low	All-day
Sahiwal Family Guest House	Hotel	Sahiwal	https://www.google.com/maps/search/?api=1&query=Sahiwal+Family+Guest+House+Sahiwal+Punjab+Pakistan	Moderate	All-day
Cafe 804	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Cafe+804+Jhang+Pakistan	Moderate	Brunch
Nafees Bakers & Sweets	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Nafees+Bakers+%26+Sweets+Jhang+Pakistan	Low	FullDay
Pak Cuisine Restaurant	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Pak+Cuisine+Restaurant+Jhang+Pakistan	Moderate	MainMeals
Al-Madina Tikka House	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Al-Madina+Tikka+House+Jhang+Pakistan	Moderate	FullDay
The Junction Cafe	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=The+Junction+Cafe+Jhang+Pakistan	Moderate	Brunch
Haleem Ghar	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Haleem+Ghar+Jhang+Pakistan	Low	MainMeals
Spice Hub	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Spice+Hub+Jhang+Pakistan	Moderate	MainMeals
Royal Tandoor	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Royal+Tandoor+Jhang+Pakistan	Moderate	MainMeals
Baranh Jhang	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Baranh+Jhang+Pakistan	High	MainMeals
Qasoori Chinese Restaurant	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Qasoori+Chinese+Restaurant+Jhang+Pakistan	Moderate	MainMeals
Masala Bites Restaurant	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Hayat+Plaza+Church+Road%2C+Jhang+Pakistan	Moderate	MainMeals
Ibrahim CafÃƒÂ© & Restaurant	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Ibrahim+Caf%C3%A9+%26+Restaurant+Jhang+Pakistan	Moderate	MainMeals
Shanwari Tonight	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Shanwari+Tonight+Jhang+Pakistan	Moderate	Dinner
Jigar Chinese	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Jigar+Chinese+Jhang+Pakistan	Low	MainMeals
Al-Fazal Restaurant	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Al-Fazal+Restaurant+Jhang+Pakistan	Moderate	FullDay
Hafiz Biryani	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Hafiz+Biryani+Jhang+Pakistan	Low	FullDay
Rahat Hotel	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Rahat+Hotel+Jhang+Pakistan	Low	FullDay
Cafe De Fork	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Cafe+De+Fork+Jhang+Pakistan	Moderate	MainMeals
J.GRILL CAFE	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Palm+Villas%2C+Jhang+Pakistan	Moderate	MainMeals
Elysian Sweets	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=LDS+Mall%2C+Session+Chowk%2C+Jhang+Sadar+Pakistan	Low	Brunch
RFC Jhang	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Yousaf+Shah+Road%2C+Jhang+Sadar+Pakistan	Low	MainMeals
Food Palace Jhang	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Food+Palace+Jhang+Pakistan	Low	MainMeals
Khan Bar B.Q	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Khan+Bar+B.Q+Jhang+Pakistan	Low	MainMeals
Bright Day	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Bright+Day+Jhang+Pakistan	Low	MainMeals
Shinwari Restaurant	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Shinwari+Restaurant+Jhang+Pakistan	High	Dinner
Tawa Restaurant	Restaurant	Jhang	https://www.google.com/maps/search/?api=1&query=Tawa+Restaurant+Jhang+Pakistan	Low	Dinner
Fort Huts	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Fort+Huts+Sheikhupura+Punjab+Pakistan	Moderate	MainMeals
Shahi Rasoi	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Shahi+Rasoi+Sheikhupura+Punjab+Pakistan	Moderate	FullDay
Citi Hotel And Restaurant	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Citi+Hotel+And+Restaurant+Sheikhupura+Punjab+Pakistan	Moderate	FullDay
Abbasi Dhaba	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Abbasi+Dhaba+Sheikhupura+Punjab+Pakistan	Low	FullDay
Manjaros Cafe	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Manjaros+Cafe+Sheikhupura+Punjab+Pakistan	Moderate	MainMeals
Butt Bannu Beef Chicken Palao	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Butt+Bannu+Beef+Chicken+Palao+Sheikhupura+Punjab+Pakistan	Low	MainMeals
Sultan Grand	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Sultan+Grand+Sheikhupura+Punjab+Pakistan	High	FullDay
Mehar Baba	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Mehar+Baba+Sheikhupura+Punjab+Pakistan	Low	MainMeals
CFC Sheikhupura	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=CFC+Sheikhupura+Punjab+Pakistan	Moderate	MainMeals
Cafe Foodie Crush	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Cafe+Foodie+Crush+Sheikhupura+Punjab+Pakistan	Moderate	MainMeals
X Wife The Cafe	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=X+Wife+The+Cafe+Sheikhupura+Punjab+Pakistan	Moderate	MainMeals
Silver Palm	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Silver+Palm+Sheikhupura+Punjab+Pakistan	Moderate	MainMeals
Peperoni Restaurant	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Peperoni+Restaurant+Sheikhupura+Punjab+Pakistan	Moderate	MainMeals
CAFE 009	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=CAFE+009+Sheikhupura+Punjab+Pakistan	Moderate	MainMeals
Picnate Cafe	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Picnate+Cafe+Sheikhupura+Punjab+Pakistan	Moderate	MainMeals
Crew Cafe	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Crew+Cafe+Sheikhupura+Punjab+Pakistan	Moderate	MainMeals
KFC Sheikhupura	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=KFC+Sheikhupura+Punjab+Pakistan	Moderate	MainMeals
BFC Sheikhupura	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=BFC+Sheikhupura+Punjab+Pakistan	Low	MainMeals
McDonald's Sheikhupura	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=McDonald%27s+Sheikhupura+Punjab+Pakistan	Moderate	FullDay
Hard Rock Cafe	Restaurant	Sheikhupura	https://maps.app.goo.gl/goadaKTQ1bHLQ6K39	High	MainMeals
Gloria Jean's Sheikhupura	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Gloria+Jean%27s+Sheikhupura+Punjab+Pakistan	Moderate	FullDay
Delicia Cafe	Restaurant	Sheikhupura	https://www.google.com/maps/search/?api=1&query=Delicia+Cafe+Sheikhupura+Punjab+Pakistan	Moderate	MainMeals
Palatial Restaurant	Restaurant	Gujrat	https://www.google.com/maps/search/?api=1&query=Palatial+Restaurant+GT+Road+near+Chenab+bridge+Gujrat+Punjab+Pakistan	High	MainMeals
Gujrat Grill	Restaurant	Gujrat	https://www.google.com/maps/search/?api=1&query=Gujrat+Grill+Main+GT+Road+Gujrat+Punjab+Pakistan	Moderate	MainMeals
Baithak Restaurant	Restaurant	Gujrat	https://www.google.com/maps/search/?api=1&query=Baithak+G.T.+Road+Gujrat+Punjab+Pakistan	Moderate	FullDay
Talha Nashta Centre	Restaurant	Gujrat	https://www.google.com/maps/search/?api=1&query=Talha+Nashta+Centre+Circular+Rd+Shah+Faisal+Gate+Gujrat+Punjab+Pakistan	Low	Breakfast
